model,model_display,int2_rows,parsed_confidence_n,gradeable_candidate_n,ece_n,excluded_from_ece_n,occupied_bins,mean_confidence,candidate_accuracy,signed_calibration_gap,ece_10_equal_width,maximum_calibration_error,brier_score
claude-haiku-4-5,Claude Haiku 4.5,400,400,387,387,13,10,0.7630749354005169,0.6201550387596899,0.14291989664082694,0.15764857881136946,0.55,0.17714341085271315
deepseek-v4-pro,DeepSeek V4 Pro,396,392,364,360,36,2,0.9974138888888889,0.9361111111111111,0.06130277777777782,0.06213611111111117,0.15000000000000002,0.0628258361111111
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,400,400,398,398,2,8,0.9512562814070352,0.6306532663316583,0.3206030150753769,0.32562814070351764,0.825,0.3178391959798995
gpt-5.4-nano,GPT-5.4 Nano,399,399,398,398,1,10,0.544246231155779,0.3944723618090452,0.14977386934673376,0.2232412060301508,0.3317142857142858,0.26022688442211056
qwen3.5-397b,Qwen3.5-397B,395,387,368,360,35,6,0.9509166666666666,0.8666666666666667,0.08424999999999994,0.12036111111111125,0.8,0.12067138888888888
