model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,7,70–80%,9,0,0.0,0.0,0.2991450484195441,0.9763888888888889,0.9675,0.98
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,8,80–90%,2,0,0.0,0.0,0.6576197724933469,0.9875,0.9875,0.9875
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,9,90–100%,19,0,0.0,0.0,0.16817922405261626,0.9901315789473683,0.99,0.9924999999999999
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,0,0–10%,44,4,0.09090909090909091,0.03592219322731624,0.21159239166598612,0.3370454545454546,0.05,0.425
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,1,10–20%,36,0,0.0,0.0,0.09641862859446367,0.49444444444444435,0.4375,0.525
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,2,20–30%,40,0,0.0,0.0,0.08762160119728664,0.5745,0.5375,0.6
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,3,30–40%,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855,0.6427777777777777,0.61,0.675
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,4,40–50%,40,0,0.0,0.0,0.08762160119728664,0.72025,0.6799999999999999,0.75
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,5,50–60%,40,0,0.0,0.0,0.08762160119728664,0.82725,0.7749999999999999,0.9375
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,6,60–70%,44,0,0.0,0.0,0.08029560375848066,0.9504545454545457,0.9425,0.96
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,7,70–80%,36,0,0.0,0.0,0.09641862859446367,0.9763888888888889,0.9675,0.98
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,8,80–90%,8,0,0.0,0.0,0.32440756488388023,0.9875,0.9875,0.9875
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,9,90–100%,76,0,0.0,0.0,0.048113585065137326,0.990131578947368,0.99,0.9924999999999999
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,0,0–10%,4,1,0.25,0.04558726080970055,0.6993581574175981,0.125,0.0,0.25
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,1,10–20%,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656,0.9019444444444444,0.7475,0.9924999999999999
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,2,20–30%,14,0,0.0,1.3877787807814457e-17,0.2153108027376358,0.9967857142857143,0.995,0.9975
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,3,30–40%,1,0,0.0,0.0,0.7934506856227626,0.99975,0.99975,0.99975
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,5,50–60%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,6,60–70%,66,0,0.0,0.0,0.05500255701354129,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,0,0–10%,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.25513888888888886,0.0,0.4975
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,1,10–20%,9,0,0.0,0.0,0.2991450484195441,0.9019444444444444,0.7475,0.9924999999999999
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,2,20–30%,14,0,0.0,1.3877787807814457e-17,0.2153108027376358,0.9967857142857143,0.995,0.9975
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,3,30–40%,1,0,0.0,0.0,0.7934506856227626,0.99975,0.99975,0.99975
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,5,50–60%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,6,60–70%,66,0,0.0,0.0,0.05500255701354129,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-100,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,0,0–10%,4,1,0.25,0.04558726080970055,0.6993581574175981,0.3202083333333333,0.2475,0.44999999999999996
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,1,10–20%,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656,0.9019444444444444,0.7475,0.9924999999999999
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,2,20–30%,14,0,0.0,1.3877787807814457e-17,0.2153108027376358,0.9967857142857143,0.995,0.9975
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,3,30–40%,1,0,0.0,0.0,0.7934506856227626,0.99975,0.99975,0.99975
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,5,50–60%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,6,60–70%,66,0,0.0,0.0,0.05500255701354129,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP6,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,0,0–10%,3,1,0.3333333333333333,0.06149194472039621,0.7923403991979522,0.2333333333333333,0.0,0.44999999999999996
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,1,10–20%,9,0,0.0,0.0,0.2991450484195441,0.9019444444444444,0.7475,0.9924999999999999
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,2,20–30%,14,0,0.0,1.3877787807814457e-17,0.2153108027376358,0.9967857142857143,0.995,0.9975
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,3,30–40%,1,0,0.0,0.0,0.7934506856227626,0.99975,0.99975,0.99975
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,5,50–60%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,6,60–70%,66,0,0.0,0.0,0.05500255701354129,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,QP7,percentile_bin,9,90–100%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,0,0–10%,17,4,0.23529411764705882,0.09555044322080117,0.4726179811956498,0.23598039215686276,0.0,0.4975
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,1,10–20%,36,2,0.05555555555555555,0.015369986664161853,0.18144657208647252,0.9019444444444444,0.7475,0.9924999999999999
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,2,20–30%,56,0,0.0,6.938893903907228e-18,0.06419393671876342,0.9967857142857144,0.995,0.9975
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,3,30–40%,4,0,0.0,0.0,0.4898908364545973,0.99975,0.99975,0.99975
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,5,50–60%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,6,60–70%,264,0,0.0,0.0,0.01434228605835731,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,7,70–80%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,8,80–90%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Pooled,percentile_bin,9,90–100%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,0,0–10%,10,0,0.0,0.0,0.2775327998628892,0.7100000000000001,0.4875,0.775
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,1,10–20%,10,0,0.0,0.0,0.2775327998628892,0.8837499999999998,0.825,0.9125
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,2,20–30%,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.9552083333333335,0.925,0.9625
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,3,30–40%,9,0,0.0,0.0,0.2991450484195441,0.9750000000000001,0.975,0.975
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,4,40–50%,4,0,0.0,0.0,0.4898908364545973,0.9875,0.9875,0.9875
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,5,50–60%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,6,60–70%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,7,70–80%,55,0,0.0,0.0,0.06528490111708637,1.0,1.0,1.0
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,8,80–90%,0,0,,,,,,
gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Quant-25,percentile_bin,9,90–100%,0,0,,,,,,
