model,model_display,setting,bin_type,bin_index,bin_label,n,abstentions,abstention_rate,ci_low,ci_high,confidence_mean,confidence_min,confidence_max
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,5,50–60%,20,0,0.0,0.0,0.16112515805281938,0.9499999999999998,0.95,0.95
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,6,60–70%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,7,70–80%,5,0,0.0,0.0,0.43448246478317476,0.9800000000000001,0.98,0.98
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,8,80–90%,26,0,0.0,0.0,0.1287289218592153,0.9899999999999998,0.99,0.99
claude-haiku-4-5,Claude Haiku 4.5,QP7,percentile_bin,9,90–100%,0,0,,,,,,
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,0,0–10%,46,4,0.08695652173913043,0.03433586789472588,0.2032466407411883,0.19891304347826083,0.0,0.35
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,1,10–20%,34,0,0.0,0.0,0.10151455415332376,0.35882352941176465,0.25,0.45
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,2,20–30%,41,1,0.024390243902439025,0.004318531568912411,0.1259506205577423,0.5585365853658536,0.45,0.7
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,3,30–40%,32,0,0.0,0.0,0.1071791982550706,0.7268749999999999,0.7,0.75
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,4,40–50%,49,0,0.0,6.938893903907228e-18,0.07269781922049637,0.8295918367346937,0.75,0.92
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,5,50–60%,22,0,0.0,0.0,0.14865487460862087,0.9472727272727272,0.92,0.95
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,6,60–70%,59,0,0.0,0.0,0.061129370526788386,0.9500000000000002,0.95,0.95
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,7,70–80%,12,0,0.0,2.7755575615628914e-17,0.24249400665524085,0.9800000000000001,0.98,0.98
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,8,80–90%,104,0,0.0,0.0,0.03562135437245191,0.9900000000000001,0.99,0.99
claude-haiku-4-5,Claude Haiku 4.5,Pooled,percentile_bin,9,90–100%,1,0,0.0,0.0,0.7934506856227626,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,0,0–10%,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702,0.16333333333333333,0.0,0.98
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,1,10–20%,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656,0.99,0.99,0.99
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,2,20–30%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,3,30–40%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,4,40–50%,0,0,,,,,,
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,5,50–60%,78,0,0.0,0.0,0.04693780971219429,1.0,1.0,1.0
deepseek-v4-pro,DeepSeek V4 Pro,Quant-25,percentile_bin,6,60–70%,0,0,,,,,,
