cohort,model,intervention,setting,raw_bin,bin_label,n,correct,mean_confidence,candidate_accuracy,ci_low,ci_high
all_candidates,gpt-5.4-nano,1,Quant-100,4,40–50%,7,0,0.42857142857142855,0.0,5.551115123125783e-17,0.35433043506668743
all_candidates,gpt-5.4-nano,1,Quant-100,5,50–60%,2,0,0.55,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,1,Quant-100,6,60–70%,11,3,0.6181818181818182,0.2727272727272727,0.09746059290024889,0.5656453011761291
all_candidates,gpt-5.4-nano,1,Quant-100,7,70–80%,9,4,0.7622222222222222,0.4444444444444444,0.18877852109766452,0.733348706504507
all_candidates,gpt-5.4-nano,1,Quant-100,8,80–90%,7,7,0.8642857142857142,1.0,0.6456695649333126,1.0
all_candidates,gpt-5.4-nano,1,Quant-100,9,90–100%,37,31,0.9440540540540541,0.8378378378378378,0.6886351629906503,0.9234879276598885
all_candidates,gpt-5.4-nano,1,QP6,0,0–10%,2,0,0.05,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,1,QP6,1,10–20%,3,0,0.17,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gpt-5.4-nano,1,QP6,2,20–30%,3,0,0.22333333333333336,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gpt-5.4-nano,1,QP6,3,30–40%,2,0,0.33499999999999996,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,1,QP6,4,40–50%,2,0,0.42,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,1,QP6,5,50–60%,1,0,0.58,0.0,0.0,0.7934506856227626
all_candidates,gpt-5.4-nano,1,QP6,6,60–70%,7,1,0.6214285714285713,0.14285714285714285,0.02567962434474355,0.5131278292743189
all_candidates,gpt-5.4-nano,1,QP6,7,70–80%,9,6,0.7577777777777777,0.6666666666666666,0.3542021355803963,0.879416181613089
all_candidates,gpt-5.4-nano,1,QP6,8,80–90%,14,10,0.8557142857142855,0.7142857142857143,0.4535091567010681,0.8827862135542308
all_candidates,gpt-5.4-nano,1,QP6,9,90–100%,35,30,0.9617142857142856,0.8571428571428571,0.7062444591340484,0.9373976892056628
all_candidates,gpt-5.4-nano,1,QP7,0,0–10%,0,0,,,,
all_candidates,gpt-5.4-nano,1,QP7,1,10–20%,3,0,0.1433333333333333,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gpt-5.4-nano,1,QP7,2,20–30%,5,0,0.238,0.0,0.0,0.43448246478317476
all_candidates,gpt-5.4-nano,1,QP7,3,30–40%,6,1,0.36166666666666664,0.16666666666666666,0.030053369748306635,0.5635028221864702
all_candidates,gpt-5.4-nano,1,QP7,4,40–50%,3,0,0.43999999999999995,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gpt-5.4-nano,1,QP7,5,50–60%,3,0,0.55,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gpt-5.4-nano,1,QP7,6,60–70%,6,2,0.62,0.3333333333333333,0.09677141110578041,0.700006684861608
all_candidates,gpt-5.4-nano,1,QP7,7,70–80%,11,7,0.7581818181818182,0.6363636363636364,0.35380117450784887,0.8483352890463243
all_candidates,gpt-5.4-nano,1,QP7,8,80–90%,7,4,0.8600000000000001,0.5714285714285714,0.2504583645276572,0.8417801447485302
all_candidates,gpt-5.4-nano,1,QP7,9,90–100%,37,31,0.9537837837837838,0.8378378378378378,0.6886351629906503,0.9234879276598885
all_candidates,gpt-5.4-nano,2,Quant-25,0,0–10%,4,0,0.0425,0.0,0.0,0.4898908364545973
all_candidates,gpt-5.4-nano,2,Quant-25,1,10–20%,22,6,0.13500000000000004,0.2727272727272727,0.13150760287989469,0.4815173401240238
all_candidates,gpt-5.4-nano,2,Quant-25,2,20–30%,7,4,0.23714285714285716,0.5714285714285714,0.2504583645276572,0.8417801447485302
all_candidates,gpt-5.4-nano,2,Quant-25,3,30–40%,3,0,0.33666666666666667,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,gpt-5.4-nano,2,Quant-25,4,40–50%,2,1,0.44999999999999996,0.5,0.09453120573423074,0.9054687942657693
all_candidates,gpt-5.4-nano,2,Quant-25,5,50–60%,4,1,0.5475000000000001,0.25,0.04558726080970055,0.6993581574175981
all_candidates,gpt-5.4-nano,2,Quant-25,6,60–70%,16,6,0.62,0.375,0.18481232558863633,0.6135895945449727
all_candidates,gpt-5.4-nano,2,Quant-25,7,70–80%,24,9,0.7445833333333334,0.375,0.21159367559548778,0.5729003755732572
all_candidates,gpt-5.4-nano,2,Quant-25,8,80–90%,4,2,0.855,0.5,0.15003898915214947,0.8499610108478506
all_candidates,gpt-5.4-nano,2,Quant-25,9,90–100%,14,12,0.9492857142857142,0.8571428571428571,0.6005862050302965,0.9599060787285351
all_candidates,gpt-5.4-nano,2,Quant-100,0,0–10%,4,2,0.05750000000000001,0.5,0.15003898915214947,0.8499610108478506
all_candidates,gpt-5.4-nano,2,Quant-100,1,10–20%,19,4,0.14052631578947372,0.21052631578947367,0.08507676632916253,0.43334278443814167
all_candidates,gpt-5.4-nano,2,Quant-100,2,20–30%,5,3,0.22200000000000003,0.6,0.2307242812760128,0.882379225767352
all_candidates,gpt-5.4-nano,2,Quant-100,3,30–40%,4,1,0.3325,0.25,0.04558726080970055,0.6993581574175981
all_candidates,gpt-5.4-nano,2,Quant-100,4,40–50%,9,0,0.4244444444444444,0.0,0.0,0.2991450484195441
all_candidates,gpt-5.4-nano,2,Quant-100,5,50–60%,5,0,0.56,0.0,0.0,0.43448246478317476
all_candidates,gpt-5.4-nano,2,Quant-100,6,60–70%,17,9,0.6252941176470588,0.5294117647058824,0.30963235060004424,0.7383489355759056
all_candidates,gpt-5.4-nano,2,Quant-100,7,70–80%,14,4,0.7421428571428571,0.2857142857142857,0.11721378644576919,0.5464908432989318
all_candidates,gpt-5.4-nano,2,Quant-100,8,80–90%,4,3,0.8524999999999999,0.75,0.30064184258240184,0.9544127391902995
all_candidates,gpt-5.4-nano,2,Quant-100,9,90–100%,17,11,0.9435294117647058,0.6470588235294118,0.41300363485218694,0.8269027960275627
all_candidates,gpt-5.4-nano,2,QP6,0,0–10%,2,0,0.025,0.0,0.0,0.6576197724933469
all_candidates,gpt-5.4-nano,2,QP6,1,10–20%,16,1,0.148125,0.0625,0.01111934476464252,0.28328737570298945
all_candidates,gpt-5.4-nano,2,QP6,2,20–30%,9,3,0.2288888888888889,0.3333333333333333,0.1205838183869109,0.6457978644196036
all_candidates,gpt-5.4-nano,2,QP6,3,30–40%,4,1,0.35250000000000004,0.25,0.04558726080970055,0.6993581574175981
all_candidates,gpt-5.4-nano,2,QP6,4,40–50%,6,1,0.43166666666666664,0.16666666666666666,0.030053369748306635,0.5635028221864702
all_candidates,gpt-5.4-nano,2,QP6,5,50–60%,3,2,0.54,0.6666666666666666,0.2076596008020477,0.9385080552796037
all_candidates,gpt-5.4-nano,2,QP6,6,60–70%,15,3,0.6246666666666666,0.2,0.07047549346981563,0.45185448715169363
all_candidates,gpt-5.4-nano,2,QP6,7,70–80%,15,5,0.7486666666666667,0.3333333333333333,0.1517632443971473,0.5828645226148023
all_candidates,gpt-5.4-nano,2,QP6,8,80–90%,12,8,0.8533333333333334,0.6666666666666666,0.39062208887279953,0.8618799089087867
all_candidates,gpt-5.4-nano,2,QP6,9,90–100%,18,14,0.9594444444444444,0.7777777777777778,0.5478541568378739,0.9099907189139831
all_candidates,gpt-5.4-nano,2,QP7,0,0–10%,2,1,0.035,0.5,0.09453120573423074,0.9054687942657693
all_candidates,gpt-5.4-nano,2,QP7,1,10–20%,24,6,0.15166666666666664,0.25,0.11999366228595004,0.44899444005154004
all_candidates,gpt-5.4-nano,2,QP7,2,20–30%,10,4,0.23800000000000004,0.4,0.16818032970623614,0.6873262302663417
all_candidates,gpt-5.4-nano,2,QP7,3,30–40%,6,2,0.345,0.3333333333333333,0.09677141110578041,0.700006684861608
all_candidates,gpt-5.4-nano,2,QP7,4,40–50%,2,1,0.47,0.5,0.09453120573423074,0.9054687942657693
all_candidates,gpt-5.4-nano,2,QP7,5,50–60%,5,2,0.5720000000000001,0.4,0.11762077423264783,0.769275718723987
all_candidates,gpt-5.4-nano,2,QP7,6,60–70%,11,0,0.6218181818181819,0.0,0.0,0.2588329669680317
all_candidates,gpt-5.4-nano,2,QP7,7,70–80%,17,11,0.7488235294117648,0.6470588235294118,0.41300363485218694,0.8269027960275627
all_candidates,gpt-5.4-nano,2,QP7,8,80–90%,10,4,0.852,0.4,0.16818032970623614,0.6873262302663417
all_candidates,gpt-5.4-nano,2,QP7,9,90–100%,13,10,0.9630769230769229,0.7692307692307693,0.49743624053272495,0.9182047128150143
all_candidates,qwen3.5-397b,1,Quant-25,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,1,Quant-25,1,10–20%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-25,2,20–30%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-25,3,30–40%,1,0,0.3,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,1,Quant-25,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-25,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-25,6,60–70%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-25,7,70–80%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-25,8,80–90%,2,0,0.85,0.0,0.0,0.6576197724933469
all_candidates,qwen3.5-397b,1,Quant-25,9,90–100%,87,76,0.9847126436781609,0.8735632183908046,0.7876218511925265,0.9279104712055445
all_candidates,qwen3.5-397b,1,Quant-100,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,1,Quant-100,1,10–20%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-100,2,20–30%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-100,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-100,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-100,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,1,Quant-100,6,60–70%,2,1,0.6,0.5,0.09453120573423074,0.9054687942657693
all_candidates,qwen3.5-397b,1,Quant-100,7,70–80%,2,0,0.75,0.0,0.0,0.6576197724933469
all_candidates,qwen3.5-397b,1,Quant-100,8,80–90%,3,0,0.8333333333333334,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,qwen3.5-397b,1,Quant-100,9,90–100%,91,81,0.9871758241758243,0.8901098901098901,0.8094124853890531,0.9392052697873151
all_candidates,qwen3.5-397b,1,QP6,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,1,QP6,1,10–20%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,2,20–30%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,6,60–70%,3,0,0.6,0.0,5.551115123125783e-17,0.5614970317550454
all_candidates,qwen3.5-397b,1,QP6,7,70–80%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,8,80–90%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP6,9,90–100%,91,85,0.9902197802197804,0.9340659340659341,0.8635353380058843,0.9694337135283846
all_candidates,qwen3.5-397b,1,QP7,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,1,QP7,1,10–20%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,2,20–30%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,6,60–70%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,7,70–80%,0,0,,,,
all_candidates,qwen3.5-397b,1,QP7,8,80–90%,1,0,0.85,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,1,QP7,9,90–100%,90,76,0.9896322222222222,0.8444444444444444,0.7556715472270163,0.9050172440508919
all_candidates,qwen3.5-397b,2,Quant-25,0,0–10%,1,0,0.0,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,2,Quant-25,1,10–20%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-25,2,20–30%,1,0,0.2,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,2,Quant-25,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-25,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-25,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-25,6,60–70%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-25,7,70–80%,1,1,0.7,1.0,0.20654931437723745,1.0
all_candidates,qwen3.5-397b,2,Quant-25,8,80–90%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-25,9,90–100%,87,76,0.9897701149425289,0.8735632183908046,0.7876218511925265,0.9279104712055445
all_candidates,qwen3.5-397b,2,Quant-100,0,0–10%,2,2,0.025,1.0,0.34238022750665303,1.0
all_candidates,qwen3.5-397b,2,Quant-100,1,10–20%,2,1,0.1,0.5,0.09453120573423074,0.9054687942657693
all_candidates,qwen3.5-397b,2,Quant-100,2,20–30%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,6,60–70%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,7,70–80%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,8,80–90%,0,0,,,,
all_candidates,qwen3.5-397b,2,Quant-100,9,90–100%,89,80,0.9932584269662921,0.898876404494382,0.818863100692257,0.9458814531080358
all_candidates,qwen3.5-397b,2,QP6,0,0–10%,2,0,0.025,0.0,0.0,0.6576197724933469
all_candidates,qwen3.5-397b,2,QP6,1,10–20%,2,1,0.1,0.5,0.09453120573423074,0.9054687942657693
all_candidates,qwen3.5-397b,2,QP6,2,20–30%,2,2,0.225,1.0,0.34238022750665303,1.0
all_candidates,qwen3.5-397b,2,QP6,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP6,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP6,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP6,6,60–70%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP6,7,70–80%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP6,8,80–90%,1,0,0.8,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,2,QP6,9,90–100%,86,76,0.9945348837209305,0.8837209302325582,0.7990278882092989,0.9355995417807128
all_candidates,qwen3.5-397b,2,QP7,0,0–10%,2,1,0.025,0.5,0.09453120573423074,0.9054687942657693
all_candidates,qwen3.5-397b,2,QP7,1,10–20%,1,0,0.1,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,2,QP7,2,20–30%,1,1,0.2,1.0,0.20654931437723745,1.0
all_candidates,qwen3.5-397b,2,QP7,3,30–40%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP7,4,40–50%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP7,5,50–60%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP7,6,60–70%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP7,7,70–80%,1,0,0.75,0.0,0.0,0.7934506856227626
all_candidates,qwen3.5-397b,2,QP7,8,80–90%,0,0,,,,
all_candidates,qwen3.5-397b,2,QP7,9,90–100%,79,71,0.9941772151898735,0.8987341772151899,0.8127005885203687,0.9477881920594146
submitted_only,claude-haiku-4-5,1,Quant-25,0,0–10%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-25,1,10–20%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-25,2,20–30%,2,0,0.25,0.0,0.0,0.6576197724933469
submitted_only,claude-haiku-4-5,1,Quant-25,3,30–40%,3,0,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454
submitted_only,claude-haiku-4-5,1,Quant-25,4,40–50%,1,1,0.45,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,1,Quant-25,5,50–60%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-25,6,60–70%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-25,7,70–80%,18,7,0.7444444444444445,0.3888888888888889,0.2030524657216362,0.613809583977621
submitted_only,claude-haiku-4-5,1,Quant-25,8,80–90%,7,5,0.8499999999999999,0.7142857142857143,0.35893445183261935,0.9177810759959433
submitted_only,claude-haiku-4-5,1,Quant-25,9,90–100%,44,37,0.9572727272727275,0.8409090909090909,0.7063379493775939,0.9207332298779876
submitted_only,claude-haiku-4-5,1,Quant-100,0,0–10%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-100,1,10–20%,2,0,0.15,0.0,0.0,0.6576197724933469
submitted_only,claude-haiku-4-5,1,Quant-100,2,20–30%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-100,3,30–40%,3,0,0.3333333333333333,0.0,5.551115123125783e-17,0.5614970317550454
submitted_only,claude-haiku-4-5,1,Quant-100,4,40–50%,2,0,0.45,0.0,0.0,0.6576197724933469
submitted_only,claude-haiku-4-5,1,Quant-100,5,50–60%,0,0,,,,
submitted_only,claude-haiku-4-5,1,Quant-100,6,60–70%,2,0,0.65,0.0,0.0,0.6576197724933469
submitted_only,claude-haiku-4-5,1,Quant-100,7,70–80%,10,4,0.74,0.4,0.16818032970623614,0.6873262302663417
submitted_only,claude-haiku-4-5,1,Quant-100,8,80–90%,13,12,0.8499999999999999,0.9230769230769231,0.6668604907890041,0.9862895787574435
submitted_only,claude-haiku-4-5,1,Quant-100,9,90–100%,40,35,0.9627500000000001,0.875,0.738878801611489,0.945404997490546
submitted_only,claude-haiku-4-5,1,QP6,0,0–10%,0,0,,,,
submitted_only,claude-haiku-4-5,1,QP6,1,10–20%,0,0,,,,
submitted_only,claude-haiku-4-5,1,QP6,2,20–30%,1,1,0.25,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,1,QP6,3,30–40%,1,1,0.35,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,1,QP6,4,40–50%,1,1,0.4,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,1,QP6,5,50–60%,1,1,0.55,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,1,QP6,6,60–70%,2,1,0.6,0.5,0.09453120573423074,0.9054687942657693
submitted_only,claude-haiku-4-5,1,QP6,7,70–80%,8,3,0.75,0.375,0.13684428582359742,0.6942576053973727
submitted_only,claude-haiku-4-5,1,QP6,8,80–90%,8,5,0.85,0.625,0.30574239460262737,0.8631557141764026
submitted_only,claude-haiku-4-5,1,QP6,9,90–100%,50,40,0.9580000000000001,0.8,0.6696289406777459,0.887562499842239
submitted_only,claude-haiku-4-5,1,QP7,0,0–10%,0,0,,,,
submitted_only,claude-haiku-4-5,1,QP7,1,10–20%,0,0,,,,
submitted_only,claude-haiku-4-5,1,QP7,2,20–30%,1,0,0.25,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,1,QP7,3,30–40%,5,1,0.33999999999999997,0.2,0.03622410863243014,0.6244653702374747
submitted_only,claude-haiku-4-5,1,QP7,4,40–50%,3,2,0.45,0.6666666666666666,0.2076596008020477,0.9385080552796037
submitted_only,claude-haiku-4-5,1,QP7,5,50–60%,1,0,0.5,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,1,QP7,6,60–70%,1,0,0.65,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,1,QP7,7,70–80%,12,2,0.7416666666666667,0.16666666666666666,0.04696514218385378,0.4480308622529734
submitted_only,claude-haiku-4-5,1,QP7,8,80–90%,9,6,0.85,0.6666666666666666,0.3542021355803963,0.879416181613089
submitted_only,claude-haiku-4-5,1,QP7,9,90–100%,47,40,0.9608510638297876,0.851063829787234,0.7231437757640644,0.9259328000356828
submitted_only,claude-haiku-4-5,2,Quant-25,0,0–10%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-25,1,10–20%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-25,2,20–30%,4,2,0.25,0.5,0.15003898915214947,0.8499610108478506
submitted_only,claude-haiku-4-5,2,Quant-25,3,30–40%,2,2,0.35,1.0,0.34238022750665303,1.0
submitted_only,claude-haiku-4-5,2,Quant-25,4,40–50%,4,1,0.4375,0.25,0.04558726080970055,0.6993581574175981
submitted_only,claude-haiku-4-5,2,Quant-25,5,50–60%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-25,6,60–70%,1,0,0.6,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,Quant-25,7,70–80%,1,0,0.72,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,Quant-25,8,80–90%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-25,9,90–100%,49,45,0.9708163265306125,0.9183673469387755,0.808108724034287,0.9677971823322362
submitted_only,claude-haiku-4-5,2,Quant-100,0,0–10%,1,0,0.05,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,Quant-100,1,10–20%,1,1,0.15,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,2,Quant-100,2,20–30%,1,1,0.25,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,2,Quant-100,3,30–40%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-100,4,40–50%,3,0,0.45,0.0,5.551115123125783e-17,0.5614970317550454
submitted_only,claude-haiku-4-5,2,Quant-100,5,50–60%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-100,6,60–70%,0,0,,,,
submitted_only,claude-haiku-4-5,2,Quant-100,7,70–80%,3,0,0.7333333333333334,0.0,5.551115123125783e-17,0.5614970317550454
submitted_only,claude-haiku-4-5,2,Quant-100,8,80–90%,1,0,0.82,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,Quant-100,9,90–100%,50,46,0.9694000000000003,0.92,0.8116175308165717,0.968450485911407
submitted_only,claude-haiku-4-5,2,QP6,0,0–10%,1,1,0.05,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,2,QP6,1,10–20%,1,0,0.15,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,QP6,2,20–30%,2,1,0.25,0.5,0.09453120573423074,0.9054687942657693
submitted_only,claude-haiku-4-5,2,QP6,3,30–40%,2,0,0.32499999999999996,0.0,0.0,0.6576197724933469
submitted_only,claude-haiku-4-5,2,QP6,4,40–50%,0,0,,,,
submitted_only,claude-haiku-4-5,2,QP6,5,50–60%,0,0,,,,
submitted_only,claude-haiku-4-5,2,QP6,6,60–70%,1,1,0.65,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,2,QP6,7,70–80%,9,5,0.7377777777777778,0.5555555555555556,0.26665129349549305,0.8112214789023355
submitted_only,claude-haiku-4-5,2,QP6,8,80–90%,3,1,0.85,0.3333333333333333,0.06149194472039621,0.7923403991979522
submitted_only,claude-haiku-4-5,2,QP6,9,90–100%,48,45,0.9725,0.9375,0.8316456194505365,0.9785167670916107
submitted_only,claude-haiku-4-5,2,QP7,0,0–10%,0,0,,,,
submitted_only,claude-haiku-4-5,2,QP7,1,10–20%,0,0,,,,
submitted_only,claude-haiku-4-5,2,QP7,2,20–30%,1,0,0.2,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,QP7,3,30–40%,1,1,0.35,1.0,0.20654931437723745,1.0
submitted_only,claude-haiku-4-5,2,QP7,4,40–50%,1,0,0.45,0.0,0.0,0.7934506856227626
submitted_only,claude-haiku-4-5,2,QP7,5,50–60%,0,0,,,,
submitted_only,claude-haiku-4-5,2,QP7,6,60–70%,2,0,0.65,0.0,0.0,0.6576197724933469
submitted_only,claude-haiku-4-5,2,QP7,7,70–80%,9,2,0.7322222222222222,0.2222222222222222,0.06322510711784671,0.5474110308930111
submitted_only,claude-haiku-4-5,2,QP7,8,80–90%,3,3,0.85,1.0,0.4385029682449546,1.0
submitted_only,claude-haiku-4-5,2,QP7,9,90–100%,51,47,0.9717647058823531,0.9215686274509803,0.8150005368740411,0.9690778032115107
submitted_only,deepseek-v4-pro,1,Quant-25,0,0–10%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,1,10–20%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,2,20–30%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,3,30–40%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,4,40–50%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,5,50–60%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,6,60–70%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,7,70–80%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,8,80–90%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-25,9,90–100%,85,78,0.9959647058823528,0.9176470588235294,0.839640154666247,0.9595362765008394
submitted_only,deepseek-v4-pro,1,Quant-100,0,0–10%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,1,10–20%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,2,20–30%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,3,30–40%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,4,40–50%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,5,50–60%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,6,60–70%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,7,70–80%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,8,80–90%,0,0,,,,
submitted_only,deepseek-v4-pro,1,Quant-100,9,90–100%,82,79,0.9979146341463414,0.9634146341463414,0.8978726535639152,0.9874804269184307
submitted_only,deepseek-v4-pro,1,QP6,0,0–10%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,1,10–20%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,2,20–30%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,3,30–40%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,4,40–50%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,5,50–60%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,6,60–70%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,7,70–80%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,8,80–90%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP6,9,90–100%,89,84,0.995494382022472,0.9438202247191011,0.8751458326492151,0.9757671215792799
submitted_only,deepseek-v4-pro,1,QP7,0,0–10%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP7,1,10–20%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP7,2,20–30%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP7,3,30–40%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP7,4,40–50%,0,0,,,,
submitted_only,deepseek-v4-pro,1,QP7,5,50–60%,0,0,,,,
