model,intervention,setting,percentile_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
claude-haiku-4-5,2,Quant-25,4,9,5,0.9044444444444445,0.85,0.92,0.5555555555555556,0.26665129349549305,0.8112214789023355,40–50%
claude-haiku-4-5,2,Quant-25,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,Quant-25,6,19,3,0.9500000000000001,0.95,0.95,0.15789473684210525,0.05520471638534141,0.37565475270329074,60–70%
claude-haiku-4-5,2,Quant-25,7,2,0,0.98,0.98,0.98,0.0,0.0,0.6576197724933469,70–80%
claude-haiku-4-5,2,Quant-25,8,28,0,0.99,0.99,0.99,0.0,1.3877787807814457e-17,0.12064330476584563,80–90%
claude-haiku-4-5,2,Quant-25,9,0,0,,,,,,,90–100%
claude-haiku-4-5,2,Quant-100,0,14,10,0.17142857142857143,0.0,0.25,0.7142857142857143,0.4535091567010681,0.8827862135542308,0–10%
claude-haiku-4-5,2,Quant-100,1,5,5,0.35,0.35,0.35,1.0,0.5655175352168251,1.0,10–20%
claude-haiku-4-5,2,Quant-100,2,10,7,0.505,0.45,0.65,0.7,0.39677814746114537,0.8922087325936989,20–30%
claude-haiku-4-5,2,Quant-100,3,15,12,0.7333333333333333,0.7,0.75,0.8,0.5481455128483065,0.9295245065301844,30–40%
claude-haiku-4-5,2,Quant-100,4,8,3,0.88125,0.78,0.92,0.375,0.13684428582359742,0.6942576053973727,40–50%
claude-haiku-4-5,2,Quant-100,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,Quant-100,6,21,1,0.95,0.95,0.95,0.047619047619047616,0.008455987809826399,0.22669360074122563,60–70%
claude-haiku-4-5,2,Quant-100,7,3,0,0.98,0.98,0.98,0.0,5.551115123125783e-17,0.5614970317550454,70–80%
claude-haiku-4-5,2,Quant-100,8,23,0,0.99,0.99,0.99,0.0,0.0,0.14311661845042686,80–90%
claude-haiku-4-5,2,Quant-100,9,1,0,1.0,1.0,1.0,0.0,0.0,0.7934506856227626,90–100%
claude-haiku-4-5,2,QP6,0,13,9,0.19230769230769232,0.05,0.25,0.6923076923076923,0.42369343180549035,0.8731929634428948,0–10%
claude-haiku-4-5,2,QP6,1,9,6,0.3444444444444444,0.3,0.35,0.6666666666666666,0.3542021355803963,0.879416181613089,10–20%
claude-haiku-4-5,2,QP6,2,8,6,0.55,0.45,0.65,0.75,0.40927543031016883,0.9285207872478909,20–30%
claude-haiku-4-5,2,QP6,3,17,8,0.7388235294117648,0.7,0.75,0.47058823529411764,0.26165106442409436,0.6903676493999558,30–40%
claude-haiku-4-5,2,QP6,4,5,0,0.8779999999999999,0.85,0.92,0.0,0.0,0.43448246478317476,40–50%
claude-haiku-4-5,2,QP6,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,QP6,6,19,2,0.9500000000000001,0.95,0.95,0.10526315789473684,0.02935856029887013,0.31394082711109006,60–70%
claude-haiku-4-5,2,QP6,7,2,0,0.98,0.98,0.98,0.0,0.0,0.6576197724933469,70–80%
claude-haiku-4-5,2,QP6,8,27,0,0.99,0.99,0.99,0.0,0.0,0.12455502974186705,80–90%
claude-haiku-4-5,2,QP6,9,0,0,,,,,,,90–100%
claude-haiku-4-5,2,QP7,0,6,5,0.16666666666666666,0.0,0.25,0.8333333333333334,0.43649717781352987,0.9699466302516935,0–10%
claude-haiku-4-5,2,QP7,1,6,5,0.3416666666666666,0.3,0.35,0.8333333333333334,0.43649717781352987,0.9699466302516935,10–20%
claude-haiku-4-5,2,QP7,2,16,11,0.53125,0.45,0.65,0.6875,0.44404355834740666,0.8583535614521796,20–30%
claude-haiku-4-5,2,QP7,3,12,3,0.7275,0.7,0.75,0.25,0.08894166839405471,0.5323053349335657,30–40%
claude-haiku-4-5,2,QP7,4,9,4,0.8788888888888889,0.85,0.92,0.4444444444444444,0.18877852109766452,0.733348706504507,40–50%
claude-haiku-4-5,2,QP7,5,0,0,,,,,,,50–60%
claude-haiku-4-5,2,QP7,6,20,1,0.95,0.95,0.95,0.05,0.008881448800795402,0.23613119344674205,60–70%
claude-haiku-4-5,2,QP7,7,5,0,0.9800000000000001,0.98,0.98,0.0,0.0,0.43448246478317476,70–80%
claude-haiku-4-5,2,QP7,8,26,0,0.99,0.99,0.99,0.0,0.0,0.1287289218592153,80–90%
claude-haiku-4-5,2,QP7,9,0,0,,,,,,,90–100%
deepseek-v4-pro,1,Quant-25,0,9,5,0.7088888888888889,0.0,0.98,0.5555555555555556,0.26665129349549305,0.8112214789023355,0–10%
deepseek-v4-pro,1,Quant-25,1,24,0,0.9899999999999999,0.99,0.99,0.0,1.3877787807814457e-17,0.13797620467498017,10–20%
deepseek-v4-pro,1,Quant-25,2,0,0,,,,,,,20–30%
deepseek-v4-pro,1,Quant-25,3,3,0,0.999,0.999,0.999,0.0,5.551115123125783e-17,0.5614970317550454,30–40%
deepseek-v4-pro,1,Quant-25,4,0,0,,,,,,,40–50%
deepseek-v4-pro,1,Quant-25,5,0,0,,,,,,,50–60%
deepseek-v4-pro,1,Quant-25,6,57,0,1.0,1.0,1.0,0.0,0.0,0.06313883485297894,60–70%
deepseek-v4-pro,1,Quant-25,7,0,0,,,,,,,70–80%
deepseek-v4-pro,1,Quant-25,8,0,0,,,,,,,80–90%
deepseek-v4-pro,1,Quant-25,9,0,0,,,,,,,90–100%
deepseek-v4-pro,1,Quant-100,0,6,4,0.7383333333333333,0.0,0.98,0.6666666666666666,0.299993315138392,0.9032285888942195,0–10%
deepseek-v4-pro,1,Quant-100,1,6,0,0.9899999999999999,0.99,0.99,0.0,2.7755575615628914e-17,0.3903342879021653,10–20%
deepseek-v4-pro,1,Quant-100,2,6,0,0.995,0.995,0.995,0.0,2.7755575615628914e-17,0.3903342879021653,20–30%
deepseek-v4-pro,1,Quant-100,3,11,0,0.9990000000000001,0.999,0.999,0.0,0.0,0.2588329669680317,30–40%
deepseek-v4-pro,1,Quant-100,4,0,0,,,,,,,40–50%
deepseek-v4-pro,1,Quant-100,5,0,0,,,,,,,50–60%
deepseek-v4-pro,1,Quant-100,6,60,0,1.0,1.0,1.0,0.0,0.0,0.06017185214208986,60–70%
deepseek-v4-pro,1,Quant-100,7,0,0,,,,,,,70–80%
deepseek-v4-pro,1,Quant-100,8,0,0,,,,,,,80–90%
deepseek-v4-pro,1,Quant-100,9,0,0,,,,,,,90–100%
deepseek-v4-pro,1,QP6,0,5,0,0.9559999999999998,0.95,0.98,0.0,0.0,0.43448246478317476,0–10%
deepseek-v4-pro,1,QP6,1,18,0,0.99,0.99,0.99,0.0,0.0,0.17587922364665765,10–20%
deepseek-v4-pro,1,QP6,2,0,0,,,,,,,20–30%
deepseek-v4-pro,1,QP6,3,1,0,0.999,0.999,0.999,0.0,0.0,0.7934506856227626,30–40%
deepseek-v4-pro,1,QP6,4,0,0,,,,,,,40–50%
