model,intervention,setting,raw_bin,n,abstentions,confidence_mean,confidence_min,confidence_max,abstention_rate,ci_low,ci_high,bin_label
gpt-5.4-nano,1,Quant-100,7,10,5,0.754,0.72,0.78,0.5,0.236593090512564,0.7634069094874361,70–80%
gpt-5.4-nano,1,Quant-100,8,9,5,0.8588888888888888,0.82,0.88,0.5555555555555556,0.26665129349549305,0.8112214789023355,80–90%
gpt-5.4-nano,1,Quant-100,9,35,11,0.946,0.9,0.99,0.3142857142857143,0.18550844674265818,0.4797976361206918,90–100%
gpt-5.4-nano,1,QP6,0,6,6,0.05000000000000001,0.05,0.05,1.0,0.6096657120978346,1.0,0–10%
gpt-5.4-nano,1,QP6,1,3,3,0.16,0.15,0.18,1.0,0.4385029682449546,1.0,10–20%
gpt-5.4-nano,1,QP6,2,2,2,0.225,0.2,0.25,1.0,0.34238022750665303,1.0,20–30%
gpt-5.4-nano,1,QP6,3,3,3,0.33666666666666667,0.32,0.35,1.0,0.4385029682449546,1.0,30–40%
gpt-5.4-nano,1,QP6,4,0,0,,,,,,,40–50%
gpt-5.4-nano,1,QP6,5,1,1,0.58,0.58,0.58,1.0,0.20654931437723745,1.0,50–60%
gpt-5.4-nano,1,QP6,6,1,1,0.62,0.62,0.62,1.0,0.20654931437723745,1.0,60–70%
gpt-5.4-nano,1,QP6,7,6,6,0.7566666666666667,0.72,0.78,1.0,0.6096657120978346,1.0,70–80%
gpt-5.4-nano,1,QP6,8,14,5,0.8592857142857142,0.83,0.88,0.35714285714285715,0.1634473175355414,0.612355768960926,80–90%
gpt-5.4-nano,1,QP6,9,39,4,0.9615384615384616,0.9,1.0,0.10256410256410256,0.04061331344668381,0.23578854462856527,90–100%
gpt-5.4-nano,1,QP7,0,1,1,0.05,0.05,0.05,1.0,0.20654931437723745,1.0,0–10%
gpt-5.4-nano,1,QP7,1,3,3,0.14333333333333334,0.1,0.18,1.0,0.4385029682449546,1.0,10–20%
gpt-5.4-nano,1,QP7,2,2,2,0.21500000000000002,0.2,0.23,1.0,0.34238022750665303,1.0,20–30%
gpt-5.4-nano,1,QP7,3,4,4,0.36,0.35,0.38,1.0,0.5101091635454027,1.0,30–40%
gpt-5.4-nano,1,QP7,4,3,3,0.43999999999999995,0.42,0.48,1.0,0.4385029682449546,1.0,40–50%
gpt-5.4-nano,1,QP7,5,1,1,0.55,0.55,0.55,1.0,0.20654931437723745,1.0,50–60%
gpt-5.4-nano,1,QP7,6,3,2,0.62,0.62,0.62,0.6666666666666666,0.2076596008020477,0.9385080552796037,60–70%
gpt-5.4-nano,1,QP7,7,14,6,0.7585714285714287,0.72,0.78,0.42857142857142855,0.21380798904474121,0.6740935542034926,70–80%
gpt-5.4-nano,1,QP7,8,8,0,0.86,0.86,0.86,0.0,0.0,0.32440756488388023,80–90%
gpt-5.4-nano,1,QP7,9,41,0,0.9526829268292684,0.9,0.99,0.0,0.0,0.08566757018443186,90–100%
gpt-5.4-nano,2,Quant-25,0,4,4,0.0425,0.01,0.06,1.0,0.5101091635454027,1.0,0–10%
gpt-5.4-nano,2,Quant-25,1,22,22,0.13499999999999998,0.12,0.18,1.0,0.8513451253913791,1.0,10–20%
gpt-5.4-nano,2,Quant-25,2,7,7,0.23714285714285716,0.2,0.28,1.0,0.6456695649333126,1.0,20–30%
gpt-5.4-nano,2,Quant-25,3,3,3,0.33666666666666667,0.32,0.35,1.0,0.4385029682449546,1.0,30–40%
gpt-5.4-nano,2,Quant-25,4,2,2,0.44999999999999996,0.42,0.48,1.0,0.34238022750665303,1.0,40–50%
gpt-5.4-nano,2,Quant-25,5,4,4,0.5475000000000001,0.54,0.56,1.0,0.5101091635454027,1.0,50–60%
gpt-5.4-nano,2,Quant-25,6,16,14,0.62,0.62,0.62,0.875,0.639771727342413,0.9650225122567595,60–70%
gpt-5.4-nano,2,Quant-25,7,24,21,0.7445833333333334,0.72,0.78,0.875,0.6899611872949993,0.9565566591987655,70–80%
gpt-5.4-nano,2,Quant-25,8,4,1,0.855,0.84,0.86,0.25,0.04558726080970055,0.6993581574175981,80–90%
gpt-5.4-nano,2,Quant-25,9,14,4,0.9492857142857142,0.9,0.99,0.2857142857142857,0.11721378644576919,0.5464908432989318,90–100%
gpt-5.4-nano,2,Quant-100,0,5,5,0.05600000000000001,0.02,0.08,1.0,0.5655175352168251,1.0,0–10%
gpt-5.4-nano,2,Quant-100,1,19,19,0.1405263157894737,0.12,0.18,1.0,0.8318207759473837,1.0,10–20%
gpt-5.4-nano,2,Quant-100,2,5,5,0.22200000000000003,0.2,0.26,1.0,0.5655175352168251,1.0,20–30%
gpt-5.4-nano,2,Quant-100,3,4,4,0.3325,0.32,0.35,1.0,0.5101091635454027,1.0,30–40%
gpt-5.4-nano,2,Quant-100,4,9,8,0.4244444444444444,0.42,0.46,0.8888888888888888,0.5650002944233439,0.9801091123614551,40–50%
gpt-5.4-nano,2,Quant-100,5,5,4,0.56,0.55,0.58,0.8,0.37553462976252533,0.9637758913675698,50–60%
gpt-5.4-nano,2,Quant-100,6,17,15,0.6252941176470589,0.62,0.68,0.8823529411764706,0.6566364940511412,0.9671202262362074,60–70%
gpt-5.4-nano,2,Quant-100,7,14,9,0.7421428571428572,0.72,0.78,0.6428571428571429,0.38764423103907397,0.8365526824644587,70–80%
gpt-5.4-nano,2,Quant-100,8,4,2,0.8525,0.83,0.86,0.5,0.15003898915214947,0.8499610108478506,80–90%
gpt-5.4-nano,2,Quant-100,9,17,5,0.9435294117647058,0.9,0.99,0.29411764705882354,0.1327998961029523,0.5313311006653985,90–100%
gpt-5.4-nano,2,QP6,0,2,2,0.025,0.0,0.05,1.0,0.34238022750665303,1.0,0–10%
gpt-5.4-nano,2,QP6,1,16,16,0.148125,0.12,0.18,1.0,0.8063923194655637,1.0,10–20%
gpt-5.4-nano,2,QP6,2,9,9,0.2288888888888889,0.2,0.27,1.0,0.7008549515804559,1.0,20–30%
gpt-5.4-nano,2,QP6,3,4,3,0.3525,0.35,0.36,0.75,0.30064184258240184,0.9544127391902995,30–40%
gpt-5.4-nano,2,QP6,4,6,6,0.43166666666666664,0.42,0.46,1.0,0.6096657120978346,1.0,40–50%
gpt-5.4-nano,2,QP6,5,3,2,0.54,0.52,0.55,0.6666666666666666,0.2076596008020477,0.9385080552796037,50–60%
gpt-5.4-nano,2,QP6,6,15,15,0.6246666666666666,0.62,0.68,1.0,0.7961166989641515,1.0,60–70%
gpt-5.4-nano,2,QP6,7,15,15,0.7486666666666667,0.72,0.78,1.0,0.7961166989641515,1.0,70–80%
gpt-5.4-nano,2,QP6,8,12,10,0.8533333333333334,0.82,0.86,0.8333333333333334,0.5519691377470266,0.9530348578161463,80–90%
gpt-5.4-nano,2,QP6,9,18,13,0.9594444444444444,0.9,0.99,0.7222222222222222,0.4912734343970254,0.8750024662044601,90–100%
gpt-5.4-nano,2,QP7,0,2,2,0.035,0.02,0.05,1.0,0.34238022750665303,1.0,0–10%
gpt-5.4-nano,2,QP7,1,24,24,0.15166666666666667,0.1,0.18,1.0,0.8620237953250198,1.0,10–20%
gpt-5.4-nano,2,QP7,2,10,7,0.238,0.21,0.28,0.7,0.39677814746114537,0.8922087325936989,20–30%
gpt-5.4-nano,2,QP7,3,6,6,0.345,0.32,0.38,1.0,0.6096657120978346,1.0,30–40%
gpt-5.4-nano,2,QP7,4,2,2,0.47,0.46,0.48,1.0,0.34238022750665303,1.0,40–50%
gpt-5.4-nano,2,QP7,5,5,5,0.572,0.56,0.58,1.0,0.5655175352168251,1.0,50–60%
gpt-5.4-nano,2,QP7,6,11,11,0.6218181818181818,0.62,0.63,1.0,0.7411670330319684,1.0,60–70%
gpt-5.4-nano,2,QP7,7,17,15,0.7488235294117648,0.7,0.78,0.8823529411764706,0.6566364940511412,0.9671202262362074,70–80%
gpt-5.4-nano,2,QP7,8,10,9,0.852,0.82,0.88,0.9,0.5958499732047615,0.9821237869049271,80–90%
gpt-5.4-nano,2,QP7,9,13,6,0.963076923076923,0.92,0.99,0.46153846153846156,0.23206067809538303,0.7085620428549398,90–100%
qwen3.5-397b,1,Quant-25,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
qwen3.5-397b,1,Quant-25,1,1,1,0.1,0.1,0.1,1.0,0.20654931437723745,1.0,10–20%
qwen3.5-397b,1,Quant-25,2,0,0,,,,,,,20–30%
qwen3.5-397b,1,Quant-25,3,1,1,0.3,0.3,0.3,1.0,0.20654931437723745,1.0,30–40%
qwen3.5-397b,1,Quant-25,4,1,1,0.4,0.4,0.4,1.0,0.20654931437723745,1.0,40–50%
qwen3.5-397b,1,Quant-25,5,0,0,,,,,,,50–60%
qwen3.5-397b,1,Quant-25,6,0,0,,,,,,,60–70%
qwen3.5-397b,1,Quant-25,7,0,0,,,,,,,70–80%
qwen3.5-397b,1,Quant-25,8,2,0,0.85,0.85,0.85,0.0,0.0,0.6576197724933469,80–90%
qwen3.5-397b,1,Quant-25,9,88,0,0.9843181818181819,0.9,1.0,0.0,0.0,0.0418270666648922,90–100%
qwen3.5-397b,1,Quant-100,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
qwen3.5-397b,1,Quant-100,1,0,0,,,,,,,10–20%
qwen3.5-397b,1,Quant-100,2,0,0,,,,,,,20–30%
qwen3.5-397b,1,Quant-100,3,0,0,,,,,,,30–40%
qwen3.5-397b,1,Quant-100,4,0,0,,,,,,,40–50%
qwen3.5-397b,1,Quant-100,5,0,0,,,,,,,50–60%
qwen3.5-397b,1,Quant-100,6,2,1,0.6,0.6,0.6,0.5,0.09453120573423074,0.9054687942657693,60–70%
qwen3.5-397b,1,Quant-100,7,2,2,0.75,0.75,0.75,1.0,0.34238022750665303,1.0,70–80%
qwen3.5-397b,1,Quant-100,8,3,1,0.8333333333333334,0.8,0.85,0.3333333333333333,0.06149194472039621,0.7923403991979522,80–90%
qwen3.5-397b,1,Quant-100,9,90,1,0.9871444444444445,0.9,1.0,0.011111111111111112,0.0019640841009183445,0.06028408311753451,90–100%
qwen3.5-397b,1,QP6,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
qwen3.5-397b,1,QP6,1,0,0,,,,,,,10–20%
qwen3.5-397b,1,QP6,2,0,0,,,,,,,20–30%
qwen3.5-397b,1,QP6,3,0,0,,,,,,,30–40%
qwen3.5-397b,1,QP6,4,0,0,,,,,,,40–50%
qwen3.5-397b,1,QP6,5,0,0,,,,,,,50–60%
qwen3.5-397b,1,QP6,6,3,1,0.6,0.6,0.6,0.3333333333333333,0.06149194472039621,0.7923403991979522,60–70%
qwen3.5-397b,1,QP6,7,0,0,,,,,,,70–80%
qwen3.5-397b,1,QP6,8,0,0,,,,,,,80–90%
qwen3.5-397b,1,QP6,9,92,0,0.9894565217391305,0.9,1.0,0.0,0.0,0.04008138928562172,90–100%
qwen3.5-397b,1,QP7,0,1,1,0.0,0.0,0.0,1.0,0.20654931437723745,1.0,0–10%
qwen3.5-397b,1,QP7,1,1,1,0.1,0.1,0.1,1.0,0.20654931437723745,1.0,10–20%
qwen3.5-397b,1,QP7,2,0,0,,,,,,,20–30%
qwen3.5-397b,1,QP7,3,0,0,,,,,,,30–40%
qwen3.5-397b,1,QP7,4,0,0,,,,,,,40–50%
qwen3.5-397b,1,QP7,5,0,0,,,,,,,50–60%
qwen3.5-397b,1,QP7,6,0,0,,,,,,,60–70%
qwen3.5-397b,1,QP7,7,0,0,,,,,,,70–80%
qwen3.5-397b,1,QP7,8,1,0,0.85,0.85,0.85,0.0,0.0,0.7934506856227626,80–90%
qwen3.5-397b,1,QP7,9,87,0,0.9895045977011494,0.9,1.0,0.0,0.0,0.04228750694412034,90–100%
qwen3.5-397b,2,Quant-25,0,4,1,0.0,0.0,0.0,0.25,0.04558726080970055,0.6993581574175981,0–10%
qwen3.5-397b,2,Quant-25,1,0,0,,,,,,,10–20%
qwen3.5-397b,2,Quant-25,2,1,0,0.2,0.2,0.2,0.0,0.0,0.7934506856227626,20–30%
qwen3.5-397b,2,Quant-25,3,1,1,0.3,0.3,0.3,1.0,0.20654931437723745,1.0,30–40%
qwen3.5-397b,2,Quant-25,4,0,0,,,,,,,40–50%
qwen3.5-397b,2,Quant-25,5,0,0,,,,,,,50–60%
qwen3.5-397b,2,Quant-25,6,0,0,,,,,,,60–70%
qwen3.5-397b,2,Quant-25,7,1,1,0.7,0.7,0.7,1.0,0.20654931437723745,1.0,70–80%
qwen3.5-397b,2,Quant-25,8,0,0,,,,,,,80–90%
qwen3.5-397b,2,Quant-25,9,92,15,0.9892391304347826,0.9,1.0,0.16304347826086957,0.10136989771516887,0.25172842984688054,90–100%
qwen3.5-397b,2,Quant-100,0,4,1,0.0125,0.0,0.05,0.25,0.04558726080970055,0.6993581574175981,0–10%
qwen3.5-397b,2,Quant-100,1,2,1,0.1,0.1,0.1,0.5,0.09453120573423074,0.9054687942657693,10–20%
qwen3.5-397b,2,Quant-100,2,0,0,,,,,,,20–30%
qwen3.5-397b,2,Quant-100,3,0,0,,,,,,,30–40%
qwen3.5-397b,2,Quant-100,4,0,0,,,,,,,40–50%
qwen3.5-397b,2,Quant-100,5,0,0,,,,,,,50–60%
qwen3.5-397b,2,Quant-100,6,0,0,,,,,,,60–70%
qwen3.5-397b,2,Quant-100,7,0,0,,,,,,,70–80%
qwen3.5-397b,2,Quant-100,8,0,0,,,,,,,80–90%
qwen3.5-397b,2,Quant-100,9,93,15,0.993010752688172,0.9,1.0,0.16129032258064516,0.1002507837734874,0.24920139541510739,90–100%
qwen3.5-397b,2,QP6,0,2,2,0.025,0.0,0.05,1.0,0.34238022750665303,1.0,0–10%
qwen3.5-397b,2,QP6,1,2,1,0.1,0.1,0.1,0.5,0.09453120573423074,0.9054687942657693,10–20%
qwen3.5-397b,2,QP6,2,2,1,0.225,0.2,0.25,0.5,0.09453120573423074,0.9054687942657693,20–30%
qwen3.5-397b,2,QP6,3,0,0,,,,,,,30–40%
qwen3.5-397b,2,QP6,4,0,0,,,,,,,40–50%
qwen3.5-397b,2,QP6,5,0,0,,,,,,,50–60%
qwen3.5-397b,2,QP6,6,0,0,,,,,,,60–70%
qwen3.5-397b,2,QP6,7,0,0,,,,,,,70–80%
qwen3.5-397b,2,QP6,8,1,1,0.8,0.8,0.8,1.0,0.20654931437723745,1.0,80–90%
qwen3.5-397b,2,QP6,9,90,10,0.9942222222222222,0.9,1.0,0.1111111111111111,0.06148319189297713,0.19257785021261037,90–100%
qwen3.5-397b,2,QP7,0,6,4,0.008333333333333333,0.0,0.05,0.6666666666666666,0.299993315138392,0.9032285888942195,0–10%
qwen3.5-397b,2,QP7,1,1,1,0.1,0.1,0.1,1.0,0.20654931437723745,1.0,10–20%
qwen3.5-397b,2,QP7,2,1,0,0.2,0.2,0.2,0.0,0.0,0.7934506856227626,20–30%
qwen3.5-397b,2,QP7,3,0,0,,,,,,,30–40%
qwen3.5-397b,2,QP7,4,0,0,,,,,,,40–50%
qwen3.5-397b,2,QP7,5,0,0,,,,,,,50–60%
qwen3.5-397b,2,QP7,6,0,0,,,,,,,60–70%
qwen3.5-397b,2,QP7,7,1,1,0.75,0.75,0.75,1.0,0.20654931437723745,1.0,70–80%
qwen3.5-397b,2,QP7,8,0,0,,,,,,,80–90%
qwen3.5-397b,2,QP7,9,83,6,0.9938554216867469,0.9,1.0,0.07228915662650602,0.03355029552299279,0.14886786091773183,90–100%
